City,temp,Lat,Long,humidity,Cloud Cover,Wind Speed
Irece,21.12,-11.3,-41.86,94,100,2.37
Portree,8.11,57.41,-6.19,86,15,7.15
San Juan,27.8,-31.54,-68.53,17,0,4.72
Itarema,25.21,-2.92,-39.92,86,52,1.8
Panzhihua,2.33,26.59,101.72,68,51,0.44
Ismailia,13.38,30.6,32.27,45,0,8.59
Altay,-12.88,47.83,88.13,50,4,2.07
Kavieng,29.29,-2.57,150.8,69,75,1.29
Marathon,-11.0,48.72,-86.38,78,40,2.1
Udachnyy,-12.0,66.42,112.4,92,43,2.0
Jiutai,-9.0,44.15,125.84,85,90,3.0
Havoysund,2.0,71.0,24.66,69,100,8.7
Kiunga,29.16,-6.12,141.3,76,96,0.32
Palmeiras de Goias,21.91,-16.8,-49.93,93,17,2.82
Bosaso,25.75,11.28,49.18,74,57,2.95
Sault Sainte Marie,-2.69,46.49,-84.36,63,90,7.7
Moose Factory,-13.0,51.26,-80.61,78,90,5.7
Ussuriysk,-8.0,43.8,131.95,78,75,3.0
Belyy Yar,-18.0,53.6,91.39,84,90,0.97
Puerto Penasco,21.67,31.32,-113.53,26,31,7.15
Kawalu,22.82,-7.38,108.21,85,72,0.85
Chiang Rai,16.0,19.9,99.84,100,0,0.9
Taoudenni,11.87,22.68,-3.98,17,43,3.22
Constitucion,22.0,23.99,-104.67,8,75,2.6
Matay,8.47,28.42,30.79,60,0,4.56
Progreso,23.82,-34.68,-56.22,49,75,3.1
Deneysville,17.76,-26.89,28.1,80,100,5.02
Kalanguy,-18.81,51.01,116.52,85,3,1.17
Tianmen,4.3,30.65,113.16,86,100,3.58
Yerofey Pavlovich,-26.01,53.97,121.97,95,0,0.87
Vielsalm,2.43,50.29,5.92,93,75,6.2
Sembakung,25.52,3.82,117.25,84,93,1.44
Changtu,-14.96,42.78,124.11,95,100,2.73
Alyangula,31.0,-13.85,136.42,74,40,1.5
Zorritos,32.0,-3.68,-80.68,33,75,2.1
Grand Gaube,25.0,-20.01,57.66,100,40,1.46
Khandyga,-18.24,62.65,135.58,95,100,2.1
Okhotsk,-22.56,59.36,143.24,78,1,5.88
Jalu,9.09,29.03,21.55,69,1,7.34
Cap Malheureux,25.0,-19.98,57.61,100,40,1.46
Wenling,17.81,28.38,121.38,95,84,4.29
Wewak,29.19,-3.55,143.63,68,98,1.04
Ternate,24.92,14.29,120.72,74,40,2.1
Motala,17.63,20.68,76.21,68,20,3.07
Usinsk,-13.3,66.0,57.56,94,100,7.32
Garchitorena,26.53,13.88,123.7,83,97,9.31
Anan,6.48,33.91,134.64,75,90,1.5
Ust-Maya,-19.39,60.42,134.54,99,100,0.94
Gueret,2.14,46.17,1.87,100,90,2.77
Nabire,26.77,-3.36,135.5,92,74,0.42
Visnes,6.96,59.36,5.22,93,75,7.7
Zhob,3.19,31.34,69.45,91,75,1.36
Syedove,3.84,47.08,38.16,89,100,4.92
Kadnikov,-5.14,59.5,40.34,95,100,3.08
Pangnirtung,-33.0,66.15,-65.72,44,90,2.6
Oleksandrivka,-2.84,48.97,32.24,85,18,2.8
Kununurra,27.0,-15.77,128.74,88,75,1.5
Sfantu Gheorghe,-2.5,44.65,26.83,85,3,1.5
Hannibal,4.23,39.71,-91.36,44,40,2.28
Alirajpur,15.64,22.3,74.35,48,8,4.38
Kasongo,21.33,-4.43,26.67,96,79,0.6
Mnogovershinnyy,-14.32,53.94,139.92,71,10,2.62
Galle,18.64,10.08,-12.83,60,21,1.19
Dandong,-0.75,40.12,124.37,76,100,6.21
Huntington,3.82,40.87,-73.43,52,1,2.1
